"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","816","TC-11 Verify that side bar is avaibale from all pages.","","2026-08-17","passed","2026-08-17","","","",""
"","644","TC-10 Verify that no of items in cart is updated when adding or removing product from cart page.","","2026-08-17","passed","2026-08-17","","","",""
"","420","TC-3 Verify that invalid user is restricted from login.","","2026-08-17","passed","2026-08-17","","","",""
"","842","TC-14 Verify the cancellation of checkout from Your information page and overview page","","2026-08-17","passed","2026-08-17","","","",""
"","690","TC-15 Verify that the price calculated at the checkout is the sum of the product prices added to the cart","","2026-08-17","passed","2026-08-17","","","",""
"","2165","TC-5 Verify that side bar is closed when clicking on the cross icon to close the burger menu.","","2026-08-17","passed","2026-08-17","","","",""
"","676","TC-13 Verify that correct products are added to the cart","","2026-08-17","passed","2026-08-17","","","",""
"","415","TC-2 Verify that locked user is restricted from login.","","2026-08-17","passed","2026-08-17","","","",""
"","472","TC-1 Verify the login with valid credentials.","","2026-08-17","passed","2026-08-17","","","",""
"","428","TC-1 Verify the login with valid credentials.","","2026-08-17","passed","2026-08-17","","","",""
"","489","TC-1 Verify the login with valid credentials.","","2026-08-17","passed","2026-08-17","","","",""
"","631","TC-9 Verify that no of items in cart is updated when adding or removing product from product page.","","2026-08-17","passed","2026-08-17","","","",""
"","751","TC-7 Verify the filtering of product in alphabetical order.","","2026-08-17","passed","2026-08-17","","","",""
"","827","TC-12 Verify that no of items in cart is correct through the checkout process.","","2026-08-17","passed","2026-08-17","","","",""
"","492","TC-8 Verify the filtering of product in price order.","","2026-08-17","passed","2026-08-17","","","",""
"","480","TC-1 Verify the login with valid credentials.","","2026-08-17","passed","2026-08-17","","","",""
"","4361","TC-4 Verify the sidebar option avaialable under the burger menu.","","2026-08-17","passed","2026-08-17","","","",""
